,,Bone,EditBone,PoseBone
○,name,あり,あり,あり
×,basename,(readonly),(readonly),(readonly)
,,,,
,,,,
,トランスフォーム　その1,,,
○,head,(readonly),あり,(readonly)
○,head_local,(readonly),無し,無し
○,tail,(readonly),あり,(readonly)
○,tail_local,(readonly),無し,無し
○,roll,無し,あり,無し
○,lock,無し,あり,無し
×,length,(readonly),あり,(readonly)
×,center,(readonly),(readonly),(readonly)
×,vector,(readonly),(readonly),(readonly)
×,x_axis,(readonly),(readonly),(readonly)
×,y_axis,(readonly),(readonly),(readonly)
×,z_axis,(readonly),(readonly),(readonly)
,,,,
,トランスフォーム　その2,,,
○,location,無し,無し,あり
○,rotation_axis_angle,無し,無し,あり
○,rotation_euler,無し,無し,あり
○,rotation_mode,無し,無し,あり
○,rotation_quaternion,無し,無し,あり
○,scale,無し,無し,あり
○,lock_location,無し,無し,あり
○,lock_rotation,無し,無し,あり
○,lock_rotation_w,無し,無し,あり
○,lock_rotations_4d,無し,無し,あり
○,lock_scale,無し,無し,あり
×,matrix,(readonly),あり,あり
×,matrix_basis,無し,無し,あり
×,matrix_channel,無し,無し,(readonly)
×,matrix_local,(readonly),無し,無し
×,motion_path,無し,無し,(readonly)
,,,,
,関係,,,
○,layers,あり,あり,無し
○,use_relative_parent,あり,あり,無し
○,bone_group,無し,無し,あり
○,bone_group_index,無し,無し,あり
○,use_connect,(readonly),あり,無し
○,use_local_location,あり,あり,無し
○,use_inherit_rotation,あり,あり,無し
○,inherit_scale,あり,あり,無し
○,use_inherit_scale,あり,あり,無し
,,,,
,ビューポート表示,,,
○,hide,あり,あり,無し
×,hide_select,あり,あり,無し
○,custom_shape,無し,無し,あり
○,custom_shape_scale,無し,無し,あり
○,custom_shape_transform,無し,無し,あり
○,use_custom_shape_bone_size,無し,無し,あり
○,show_wire,あり,あり,無し
×,select,あり,あり,無し
×,select_head,あり,あり,無し
×,select_tail,あり,あり,無し
,,,,
,変形,,,
○,use_deform,あり,あり,無し
○,envelope_distance,あり,あり,無し
○,envelope_weight,あり,あり,無し
○,use_envelope_multiply,あり,あり,無し
○,head_radius,あり,あり,無し
○,tail_radius,あり,あり,無し
,,,,
,ベンディボーン,,,
○,bbone_curveinx,あり,あり,あり
○,bbone_curveiny,あり,あり,あり
○,bbone_curveoutx,あり,あり,あり
○,bbone_curveouty,あり,あり,あり
○,bbone_custom_handle_end,あり,あり,(readonly)
○,bbone_custom_handle_start,あり,あり,(readonly)
○,bbone_easein,あり,あり,あり
○,bbone_easeout,あり,あり,あり
○,bbone_handle_type_end,あり,あり,無し
○,bbone_handle_type_start,あり,あり,無し
○,bbone_rollin,あり,あり,あり
○,bbone_rollout,あり,あり,あり
○,bbone_scaleinx,あり,あり,あり
○,bbone_scaleiny,あり,あり,あり
○,bbone_scaleoutx,あり,あり,あり
○,bbone_scaleouty,あり,あり,あり
○,bbone_segments,あり,あり,無し
○,bbone_x,あり,あり,無し
○,bbone_z,あり,あり,無し
○,use_endroll_as_inroll,あり,あり,無し
,,,,
,IK,,,
○,ik_stretch,無し,無し,あり
○,lock_ik_x,無し,無し,あり
○,lock_ik_y,無し,無し,あり
○,lock_ik_z,無し,無し,あり
○,ik_stiffness_x,無し,無し,あり
○,ik_stiffness_y,無し,無し,あり
○,ik_stiffness_z,無し,無し,あり
○,use_ik_limit_x,無し,無し,あり
○,use_ik_limit_y,無し,無し,あり
○,use_ik_limit_z,無し,無し,あり
○,ik_max_x,無し,無し,あり
○,ik_max_y,無し,無し,あり
○,ik_max_z,無し,無し,あり
○,ik_min_x,無し,無し,あり
○,ik_min_y,無し,無し,あり
○,ik_min_z,無し,無し,あり
×,ik_linear_weight,無し,無し,あり
×,ik_rotation_weight,無し,無し,あり
×,is_in_ik_chain,無し,無し,(readonly)
×,use_ik_linear_control,無し,無し,あり
×,use_ik_rotation_control,無し,無し,あり
,,,,
,PoseBoneからのデータアクセス用,,,
×,bone,無し,無し,あり
×,constraints,無し,無し,(readonly)
,,,,
,親子関係,,,
×,child,無し,無し,(readonly)
×,children,(readonly),(readonly),(readonly)
×,children_recursive,(readonly),(readonly),(readonly)
×,children_recursive_basename,(readonly),(readonly),(readonly)
×,parent,(readonly),あり,(readonly)
×,parent_recursive,(readonly),(readonly),(readonly)
,,,,
×,use_cyclic_offset,あり,あり,無し
